id;count;total_time;CPU;LPM;DeepLPM;Radio_TX;Radio_RX;Radio_Total
8;13;1966080;2378;1963702;0;52;1966027;1966079
2;13;1966080;3512;1962568;0;167;1965910;1966077
6;13;1966080;2405;1963675;0;52;1966028;1966080
4;13;1966080;2738;1963342;0;167;1965911;1966078
1;13;1966080;6681;1959399;0;422;1965654;1966076
7;13;1966080;2393;1963687;0;52;1966027;1966079
10;13;1966080;6750;1959330;0;494;1965579;1966073
9;13;1966081;5747;1960334;0;290;1965787;1966077
5;13;1966080;2377;1963703;0;61;1966018;1966079
3;13;1966079;4938;1961141;0;52;1966026;1966078
8;14;1966081;2709;1963372;0;52;1966027;1966079
2;14;1966081;4488;1961593;0;270;1965808;1966078
6;14;1966081;2740;1963341;0;52;1966027;1966079
4;14;1966081;2233;1963848;0;60;1966019;1966079
1;14;1966081;7723;1958358;0;417;1965659;1966076
7;14;1966081;2701;1963380;0;52;1966027;1966079
10;14;1966080;7052;1959028;0;596;1965475;1966071
9;14;1966079;6135;1959944;0;183;1965894;1966077
5;14;1966081;3065;1963016;0;61;1966020;1966081
3;14;1966081;6369;1959712;0;159;1965919;1966078
8;15;1966079;3418;1962661;0;159;1965920;1966079
2;15;1966079;3548;1962531;0;167;1965909;1966076
6;15;1966079;3000;1963079;0;52;1966026;1966078
4;15;1966079;2737;1963342;0;167;1965911;1966078
1;15;1966079;7249;1958830;0;422;1965655;1966077
7;15;1966079;2784;1963295;0;155;1965925;1966080
10;15;1966080;6878;1959202;0;494;1965578;1966072
9;15;1966080;5827;1960253;0;290;1965788;1966078
5;15;1966079;2391;1963688;0;60;1966018;1966078
3;15;1966079;4314;1961765;0;52;1966026;1966078
8;16;1966080;3110;1962970;0;154;1965924;1966078
2;16;1966079;3851;1962228;0;60;1966019;1966079
6;16;1966080;3754;1962326;0;159;1965920;1966079
4;16;1966081;3536;1962545;0;270;1965807;1966077
1;16;1966080;8296;1957784;0;422;1965655;1966077
7;16;1966080;3436;1962644;0;159;1965918;1966077
10;16;1966080;7148;1958932;0;495;1965579;1966074
9;16;1966080;6820;1959260;0;285;1965792;1966077
5;16;1966080;3129;1962951;0;164;1965917;1966081
3;16;1966081;7710;1958371;0;262;1965816;1966078
8;17;1966080;3431;1962649;0;159;1965918;1966077
2;17;1966081;3955;1962126;0;167;1965910;1966077
6;17;1966080;3111;1962969;0;154;1965925;1966079
4;17;1966079;2212;1963867;0;60;1966018;1966078
1;17;1966080;5540;1960540;0;314;1965760;1966074
7;17;1966247;2964;1963283;0;159;1966085;1966244
10;17;1966080;6316;1959764;0;442;1965632;1966074
9;17;1966080;4263;1961817;0;238;1965839;1966077
5;17;1966080;3174;1962906;0;167;1965910;1966077
3;17;1966079;6305;1959774;0;159;1965918;1966077
8;18;1966081;3769;1962312;0;159;1965920;1966079
2;18;1966080;3598;1962482;0;167;1965911;1966078
6;18;1966081;3193;1962888;0;159;1965918;1966077
4;18;1966081;2273;1963808;0;60;1966020;1966080
1;18;1966081;6724;1959357;0;422;1965656;1966078
7;18;1965913;2135;1963778;0;0;1965913;1965913
10;18;1966080;6196;1959884;0;443;1965633;1966076
9;18;1966080;4654;1961426;0;183;1965896;1966079
5;18;1966080;2735;1963345;0;60;1966019;1966079
3;18;1966081;5152;1960929;0;159;1965918;1966077
8;19;1966079;3141;1962938;0;159;1965918;1966077
2;19;1966079;3044;1963035;0;60;1966018;1966078
6;19;1966079;3495;1962584;0;159;1965919;1966078
4;19;1966079;2213;1963866;0;60;1966018;1966078
1;19;1966079;5552;1960527;0;314;1965762;1966076
7;19;1966080;3745;1962335;0;159;1965919;1966078
10;19;1966080;6800;1959280;0;495;1965578;1966073
9;19;1966080;5312;1960768;0;290;1965785;1966075
5;19;1966080;3916;1962164;0;274;1965802;1966076
